my whole body feels itchy and like its on fire 
sorry ! bed time came here ( gmt+1 ) /fnge 
is strangely sad about lilo and samro breaking up . 
the life is cool . but not for me . 
agreed , i saw the failwhale allllll day today . 
why wo n't you show my location ? ! /2y2es 
yeah aw but i know i wudnt stand a chance 
laid around too much today ... now my head hurts 
i do n't see the big deal with this website 
im lonely keep me company ! 22 female , california 
aww i know i felt like that yesterday at work 
i agree ... the jobros dont update theres very often 
i do n't want him to ever punch me . 
but what i really want is my old bass back 
is in the bathroom and i have to pee ! 
just got home from watching michigan state get tromped ! 
no exchanging for me , my laptop has n't arrived 
my reaction too whoa , did n't see that coming 
http : //twitpic.com/2y2yi - i love you , buck . 
any chance softbelly ( for ) is n't loud ? 
is in love with scrappy and is missin him already 
yes , it will be . it 's only monday 
i 'm sorry i do n't understand your last comment 
jeez , i was just trying to help haha . 
lol - nope ! but i did have complete camerafail 
good god they ruined my belly button ! ! ! 
you know , i was thinking ... i need money 
mine is 1/10 how do you get it up ? 
heading to altrincham , again ! out of hours install 
oh no hope you 're not getting sick too ! 
the angel is going to miss the athlete this weekend 
atekinzz , where in the world are you ? ? 
i wan na be in a punk rock band again 
that 's a lot of angst for a tuesday afternoon 
seems jruby support for hpricot is now two versions behind 
unlike my sister ... i still do n't have one 
ill so i cant go to the cinema ! ! 
lol i kant believe cam got beat upp sooo embarasssiiiin 
come to the chat just 15 minutes please ? .com/chat.php 
i 've been stuck in this house for two days 
shiner is taking up all my bed and blankets ! 
: shooting ! ? ! ! be careful , luisa 
i so hate homeworks -.- my head hurts so bad 
white trash vs us ... we were outnumbered . /2y3jp 
is going to have a late one at mqu today 
awww wish i could go ! but its in sydney 
i just ca n't spell today , i totally suck 
oh gee - insomnia sucks have you tried melatonin ? 
the internet is hating me . night i s'pose . 
home for spring break . no one is home tho 
getting ready to clean the house from top to bottom 
hey there ! nope . my cutenessis away for awhile 
i might break down and eat some buffalo wings tomorrow 
work laptop is officially dead .. not happy at all.. 
okay , so.. still no school ! ! ! ! 
sadly , yes . i think i need counciling now 
doesnt work on my cell go to sleep ! =p 
played another hand very bad and lost half my stack 
yes , someone has n't been reading my posts properly 
yawn yawn yawn ! ! 10 more minutes in bed 
you cooked risotto without me ! ! ? ? ? 
nope , i 'm right along wit ' you ! 
mhm , not having a good day blah blah blah 
i need new glasses ... mines is hangnon 1 arm 
i am not wanting to go to school tomorrow . 
ca n't sleep dam naps lol ... and its hot 
ca n't sleep . need to talk to someone . 
lifee gets worsee & amp ; & amp ; worsee 
i miss my old friends from elementary ans middle school 
what the fuck youku i want to watch skins . 
that 's so sad for the goats . wa-ah-ah-ah-ah-ah ! 
at work w asma3 nawal in fe obeerate alwatan tv 
please do n't leave . stay for grant 's bday 
finally going to sleep and waking up early to study 
haha nope . i guess nothing is original these days 
but not good for me close to my current challenge 
bet i- oh wait mac ? no prolly not . 
about that ... i am gon na be in mexico 
throat is so raw she can not sleep ... . 
i had to super glue my shoe ! ! lol 
because you died , and i never see you . 
i 'm only 540 years old in pixie years . 
3 in the morning and i ca n't sleep . 
oh man , it was the most sad ever . 
get up lady ! see you in work ... boohoo 
just about to leave for another exciting day at work 
stupid m & amp ; ms make my stomach hurt 
it 's going to be a loooooooooooooooooooooooooooooooonnnnnnngggggggg night at work 
damn- my pc has completely given out this sucks ... 
i love the hills but i missed the show tonight 
has a huge headache but got ta go to work 
eww . hershys kisses are ok , but not amazing 
being a grown up is horrid , is n't it 
i am not a fan of sleeping alone baby boo 
revising my essay and talking to my hubby on aim 
going to watch julian play bball . i want phoebe 
too bad it 's true , for the most part 
yay hannah montanas on disney channel fun ... ... not 
all the photos i try to upload are too big 
ugh how depressing . i want to punch something . 
watching tv . trying to sleep . not working . 
