oh dear . were you drinking out of the forgotten table drinks ? 
i was out most of the day so did n't get much done 
just going to cry myself to sleep after watching marley and me . 
damn ... i do n't have any chalk ! my chalkboard is useless 
you do n't follow me , either and i work for you ! 
hanging in crooners . wan na sing . ca n't . sucks . 
getting sick time for some hot tea , studying , and then sleeeep 
far too out of the way for rail . any other tips ? 
i know right . i dunno what is going on with twitter . 
congrats ! i 'm totally jealous ! only wish my xm was working 
i hope this does n't last too long . i feel miserable ! 
keeping my fingers crossed for my buddy he is not feeling well . 
anyone who reads this pray for my grandma . she 's in pain 
nasty budget due and my iphone is being sent to apple today . 
going to sound vain ... but running out of my fav lip gloss 
same imac came out $ 320 more in indonesia than the states . 
mines too ... i 'm finding it well hard to get fit ... 
my lymph nodes are as massive as rahm emanuel 's balls right now 
fuck omg austins always there though man & lt ; 3 love you 
watching old videos of dance team and such ... makes me miss it 
no problem , tongue-in-cheek remark . lots of acronyms , but no nz 
back at work , tired as hell and i feel a cold coming 
i 'm ready for the weekend already . it 's only monday . 
i need to go to the bank tomorrow before i go broke ... 
i had 2 put my dog down today too someone ran her over 
watching fallon with mom and working on a project ... school is hard 
i dont want to believe what im reading ... buu , so sad 
morning ! bah car wo n't start.. waiting for the anwb ... . 
i wan na rock a maxi dress @ coachella , but lacking funding 
actually the whole site has finally been taken over by those damn russians 
ilearn is down and out , great considering finals are this week ... 
north carolina baby ! ! aint nothin stopping them but the nba draft 
it 's going to be a long year for a 's fans . 
i 'm so jealous . i missed all of opening day this year 
i 'm sorry your gift card ran out ... . that suck . 
my goodness , it 's freezing down here ! ! ! ! ! 
good morning everybody ! pkoi y fais pas beau bon coffee time ! 
i hate the fact that i 'm genuinely excited about my last tweet 
omg ... & quot ; the reader & quot ; is making me 
i 'm doing my homework . it 's gosh darn hard ! ! 
my dog ca n't move anymore . praying that he will be okay 
you were pretty much my fave ... not much reason to watch now 
is sad she has lost her hn arm band ... it just disappeared 
hahahahahah i can easily make ice milo but its just not the same 
disqus now integrates conversations on many platforms . have n't heard abt js-kit 
no art tomorrow . and nice to see you 've joined twitter ! 
good morning for a very rainy france no gardening for me today . 
is missing talking to my bff on da phone ! ! ! ! 
is crying inside . please oh please let it rain so warm . 
ditch in another parish . some really sick people in this world . 
chick corea was tonight ... and i missed it ... now she sobs 
just got back from the hospital . bf 's nephew might have meningitis 
do u write back on twitter ? i miss ya garee ... x 
sorry , was getting ready . going to leave at 8am today . 
needs the motivation to get dressed and go to work i hate training 
sorry , i guess sarcasm is hard to show in 130 characters . 
so much for th paper . i just woke up from my nap 
takin a break from the clubs please dont tell me where u at 
up and showered , now to get dressed for the late shift lollypop 
tony has changed so much . why did he have to change ? 
have fun shopping ... but bear in mind the horrible forex truth /khbn 
i ca n't sleep . it 's too windy and scary out . 
at wye river.. it 's really cold ! this internet is really expensive 
has just said goodbye to her hubby who is off globe trotting away 
again with the fucked sleep ... ive decided to go do homework instead 
im not a morning person ! never have been prefer the night ! 
they do n't get hyphy on the east coast ... even to e40 
me andare so in sync that both of our stummics hurt right now 
have n't tweeted in ages my twitterberry does n't work anymore help ! 
wonderful.. i ll be slogging at 9.. you get up at 9 eh.. 
what a sad thought if it isnt ! & lt ; 3 cc 
thank you ! ! i have to now do it all again today 
nothing was sick all day it sucked im just up late cant sleep 
awww ! that sucks ! are you going to the sydney one ? 
i do n't want to be cold in april , but i am 
morning everyone ! stuck in registration for a while then assembley ! nayyy 
i am sure it will ! i have got loads to do today 
i guess counting sheep did n't work hope you get some sleep ! 
i ca n't sleep i 'm stressing out jpc & lt ; 3 
is looking at the gray sky . the sun has been stolen again 
back to work with a bump ! the long weekend is definitely over 
in genting now ! but i now at gohtong jaya using com ... 
*sigh ... gon na take a while to find all the files argh 
feeling blue ... and almost everybody says that my jokes are bad . 
hi gerry , i 'm in dublin most of the time ; college 
freshly squeezed lied . they only showed the video in the end ! 
devastated that the spiegeltent wo n't be coming to edinburgh festival this year/djh4pr 
completely addicted to my iphone . it 's like a bad habit . 
at university of hawaii 's hamilton library . doing hw drinking orange soda 
watching . interesting set/filming updates . i wish i was in cardiff . 
