almost bedtime 
oh no 
feeling down 
thatï¿½s bad 
at work 
i reckon 
yup . 
work again 
miss you 
congested nose 
up early 
michael crichton 
is cold 
is coldd 
lol goodnight 
work today 
i miss 
beeeaaach . 
is tired 
so cold 
agreed . 
need hugs 
it is 
every night 
yoghurt overload 
deadline ahead 
so sad 
work time 
whitout friends 
cry ? 
is revising 
bad day 
yeah.. hw 
doing homework 
be offline 
horrible weather 
hates revision 
fuxing homework 
your mean 
stomach ache 
eww snow 
ewwww presentation 
i know 
snowing again 
me too 
bad dayy 
ul man 
still working 
ill head 
at work 
birthday soons 
eye hurts 
work soon 
exams suck 
ow . 
its cold 
sat homework 
is cold 
at work 
rainy day 
me too 
in class 
noooooooooooooo ! 
is cold 
cheesey ads 
need advice 
i know 
super ill 
poor puppy 
lol yea 
i know 
university coursework 
agreed . 
working again 
at work 
at work 
here too 
i didnt 
in class 
very angry 
im cooooold 
me too 
is tired 
history test 
excuse me 
chase atm 
finna clean 
why not 
at work 
ouch . 
so tired 
me too 
feeling shitay 
in chicago 
dodgers losing 
tummy ache 
fuck you 
mine too 
me sorreh.. 
this sucks 
silver . 
hungry ! 
exhausted tired 
at home 
what message 
moving day 
rainy day 
slight hangover 
jamestown ? 
sick sucks 
i95=massive traffic 
is tireed 
why ! 
again ! 
so bored 
wrong asot400 
headache . 
spring cleaning 
rough day 
reading tkam 
... what 
-doing coursework 
epicness asot400 
: poxa 
i knowwwww 
doctors appt 
iss boredd 
feeling down 
probably will 
icecream.. coldd 
heading home 
sin bateria 
flight delayed 
missing tweetdeck 
im lonely 
is cleaning 
hungry ! 
the sims 
no updates 
: fantastic 
so tired 
hates goodbyes 
me too.. 
no supersonics 
too early 
idk then 
broken link 
so bored 
no-ones tweeting 
early enough 
has toothache 
my condolences 
is boared 
no time 
*ouch* ! 
at work 
why ? 
shizer ! 
missing you 
stomach ache 
computer restarted 
i know 
ugh babysitting 
why ? 
its pussing 
i know 
and expensive 
its obvious 
fucking a 
fucking ugh 
last showww 
hungry ! 
really ? 
is arting 
stupid food 
yawn.. bored 
is lonely 
i knows 
awww asot400 
same . 
r.i.p mr.crowley 
totally delayed 
is lonely 
just puked 
dat suckz 
i miss 
/d6x6yj this 
awww why 
sucky day 
goodnight . 
hungry ! 
owwwwwww ! 
i wish 
ughhhhh . 
i kno 
being bored 
back home 
headache ! 
is tired 
, hangover 
aired 2006 
poor gig 
richmond=sad panda 
tinytwitter sucks 
need excederin 
lonely ... 
so lonely 
they were 
fucking bored 
poor baby 
i agree 
so cold 
failed indeed 
i didnt 
misssss me 
that sucks 
sucks ... 
up again 
we lost 
how sad 
uh-oh..i agree 
boring sunday 
v.sorry sir 
well yeah 
it huuuuurts 
oohh tough.. 
i forgot 
true ! 
stewpid computer 
no sound 
sunday ! 
wisdom teeth 
being bored 
richmond lost 
afraid not 
missing latisha 
already ? 
heeey boo 
is tired 
english homework 
english essay 
mystic free 
i know 
bunged up 
whereï¿½s joe 
english homework 
is sad.. 
aww . 
shashlyky fail 
... contemplating 
last day 
feeling lonely 
oh fart 
still up 
hungry ! 
whats wrong 
got headache 
it is 
me too 
not working.. 
sad face 
checking outt 
hating revision 
at workkkkk 
coursework nooooo 
miss you 
i understand 
learning grammer 
is awake 
got hiccups 
homework ... 
wank ? 
dentists suck 
work time 
hangover ? 
poor bebe 
is hurt 
is crippled 
ouch . 
just you 
mmmmm just 
goodbye athens 
its cold 
thats mean 
rip ory 
finals ! 
me too 
at work 
i crashed 
neck herts 
is working 
rain again 
doing homework 
daily downloading 
i sharded 
doing courseworkkkkkk 
college visit 
i know 
ugh . 
from dancing 
14th anniversary 
totally confused 
yyyyup . 
has homework 
break up 
poor cody 
cleaning house 
doing math 
home again 
sore back 
wants bbq 
hungry ! 
its hot 
lawn time 
yup lol 
lacking motivation 
being lonly 
that sucks 
oh okay 
comfort eating 
me neither 
goodbye coachella 
it stopped 
i know 
car crash 
i know 
chelly ... 
not good 
just disappointed 
fnishing essays 
github down 
homework time 
welsh homework 
somebody talk 
heading home 
fuckin midterms 
goodbye asot400 
twenty . 
hatez sundays 
exhaustedd x 
going home 
i know 
i know 
meee either 
triste constat 
its sad 
bastard . 
whats wrong 
*sniffle*sniffle* *cough* 
lonely . 
ugh gjugrngfnr 
bad heartburn 
beark boulot 
depression sucks 
me back 
tummy hurts 
miss you 
homework time 
at work 
monday sendrom 
still working.. 
uuuuurrrgggg monday 
not tired 
i agree 
unreachable . 
gray day 
me either 
totaly sick 
in work 
car broken 
arrghhhh paperwork 
coming home 
ughhhhh . 
very thick.. 
in work 
poor you 
i wish 
rainy monday 
maybe not 
monday blues 
hate unpackingg 
monday again 
unfortunately not 
me too 
: monday 
more hw 
is working 
nothing happened 
curse school 
@ work 
tellmeee please 
ew 4/20 
workin ... 
throat hurts 
rainy dayy 
ughhhhhhhh . 
work again 
thanks ! 
missing cornwall 
flint bound 
i want 
*more cuddles* 
ugh monday 
is tired 
i agree 
saaaad face 
so thirsty 
so cold 
me too 
rainy monday 
stressful day 
no way 
me too 
i know 
its raining 
over it 
why ! 
with food 
bye tommy 
another ot 
misses someone 
poor you 
school again 
oh no 
so tired 
leaving gainesville 
monday morning 
math sucks 
i know 
awwwww aliii 
your loss 
cleaning house 
iam upset 
packing ... 
i wish 
bad day 
doing homework 
homework ... 
its raining 
bad tummy 
adios oppositetuesday 
leamer town 
alright then 
is confuseddddd 
not willingly 
emotional . 
at work 
is working 
is working 
cancelled ! 
mishing you 
mishing you 
ugh sorry 
that sucks 
belom ! 
ditto ! 
at work 
feels lonley 
you too 
oh dear 
neck strain 
only tuesday 
doing nothing.. 
working sadly 
major headache 
tried that 
very sucky 
working unfortunately 
