oh ! haha ... dude i dont really look at em unless someone says hey i added you . sorry i 'm so terrible at that . i need a pop up ! 
aaw i miss ya all too.. im leaving to bh tomorrow & quot ; morning & quot ; i think.. aww i wan na go to the beach w u girls ! ! 
when to the shoe repair shop and the guy could not find my shoes ! so i have to go back and see if he can find them in a couple days . 
used the term & quot ; fail whale & quot ; to a client on a pitch last night . from their incomprehension corp twitter is being done much lower in the org 
*sigh* rain ? ? ? why did you decide to show up ? move away ! you were not invited to the tuesday-party ( this is not the start i hoped for ) 
nevada is really long and the gas pumps are down but on a good note i just won $ 5 in a slot machine ! ! i love to gamble ! ! ! 
lol , that 's sweet ! i bought tickets last year & amp ; & amp ; my partnerincrime flaked so i did n't end up going but this , for sure ! 
my navel piercing tore a bit when i was forcing my dog into the bed of my truck . my fault , i know . it looks to be healing . yay ! 
i nearly spoiled myself for house , did just a teeny bit , saw a name , but then it went away via link . i wo n't be terribly surprised now . 
just bought sour gummi worms , peach gummi o 's , and cheeto puffs ... and a 44 ounce soda ... i 'm such a fat ass had a huge dinner too . 
tried to fix hubby 's computer . it did n't come with disks and now windows key wo n't work . might have to buy it ( like we can afford that ) 
my macbook just froze . luckily i was able to take a screen shot of my paper and retyped the end of it . i submitted my paper 1 min . late . 
hey saw u guys play @ pushover..did n't get 2 meet u tho cuz of th huge line i was very upset = ' ( lol..a msg would make up 4 it ! 
i think its itunes fault i cant download it on my mac now & quot ; store busy & quot ; if you got it , anything awesome in the camerakit update ? 
happy birthday jaime . loveyou & lt ; 3 . ... officially screwed right now . midterm . quiz . 2 projects . and 300 page book . shoot me . please . 
i have the same problem , but it 's 4:43 here ... let 's see if counting works..1234 ... 56 57 58 ... 132 133 134 ... no z 's for me ! 
need 2 get ass in gear ! wana go away 24/6 bt nt sure where cairo & amp ; uk maybe bt may b able 2 go earlier bt wont no til 8/5 
omgosh , they 're like biscuits , so so so yum . xd you have n't lived until you 've eaten them missy : p & amp ; i miss you too x 
oooooh i love it ! ! sorry i ca n't help if you ca n't find it , i probably wont be able to find it because , well , you know ... 
& quot ; its not how you are alike . its how you are diferent & quot ; i just cried in that montage flashback in hp5 makes me cry every time . 
i think the wifi on my iphone is broken . it will & quot ; connect & quot ; , but when i actually have to use it that 's another story ... 
haha well what makes you think you do n't use big words too ? sadistic ! : p what did i say any way ? and no i do n't , sorry babe 
vah . the dreaded lurgy strikes . i 'm in dire need of tea , chloroformed or otherwise . alas , i 'm off to asda for pizza , no time for tea 
wow , its way too early to be awake . lots to do though , and software post at 8:30 so i actually have to be to work on time . boo ... 
if you have a computer which is n't doing much ( or a cpu core not doing much , if you 're technical ) , get in touch ? i need processing power 
i 'm getting more and more people asking where they can buy the ambients album . simple answer is & quot ; not yet & quot ; it 'll be on itunes eventually 
awww no fair ! i is a big girl but not a big boy ! you will be sorry when i bite u on bum ! then u see who is big playa 
