man , what 's that ? i 'm not your enemy ... please get off me : meinvz ... so ein shice ! ! i did n't do anything ! ! it 's hard as a man ... , - ( 
gon na be up till 3:30. hubby got ta wake up 2 go 2 bombay & amp ; i do n't want him 2 miss it but mom dun get it . im nt awake coz i like it ma . 
took niece & amp ; nephew to blockbuster- rented & quot ; marley & amp ; me & quot ; , & amp ; & quot ; slumdog millionaire & quot ; niece kiki799 reinjured ankle @ last night b-ball game 
ya , i know they were hard ! but i procrastinated but then i said , & quot ; ya know , i 'm just gon na do these ! & quot ; xd i hate poems ! ! ! ! 
i dont think you kno who i am u played me wit the email bad ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! no more stage performance 
phl - & gt ; pit today , pit - & gt ; iad - & gt ; den thursday , den - & gt ; phl - & gt ; pit sunday . not back home in phl until 4/30 
he lookd at it at first , like 'wat 's this ' ? & amp ; i said 'its a b-day card ! & quot ; he smild & amp ; said 'oh , thank you'.but then he had to go 
& quot ; i will slap the baby right out of your crotch ! & quot ; - alvin & quot ; i 'm going to punch you in the beaver ! & quot ; - samsam .. .. help ? 
i cant believe sumone stole my handbag im so angry ! i hav 2 replace everything in it now so angry ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 1 
blah ! i should be asleep for today 's 10 am rehearsal but i do n't want too ! & gt ; . & lt ; hehe i 'm not sleepy and i do n't want to wake up early ! 
i wish kids educated themselves . i just read a forum on a website & quot ; he got a alsom mind & quot ; she wanted to say & quot ; he 's got an awesome mind & quot ; 
just woke up and walked to the bathroom and i didnt get a & quot ; good morning & quot ; or anything nice.. just a & quot ; oh , your up early. & quot ; oh how lovely . 
vegas , @ tao , got jay-z & amp ; diddy on stage , & amp ; it 's my bday . but the only thing i want is water which i have n't been able to get . wth ? 
sumthin , u noe how sum girls are lyk an hourglass or pear ? ... im a coconut tree not cool dude lol & lt ; : - & amp ; 83w ... : - & amp ; & gt ; 
nice when u c him tell him i said congrats and cornfd i couldnt i was at a soccer game & lt ; ( ' ' & lt ; ) vega ( & gt ; ' ' ) & gt ; 
i wish the whole & quot ; at least i tried & quot ; or & quot ; i did my best & quot ; concepts could be applied in real life situations -- i hate finals -- i hate stress 
today 's episode of marco is an idiot : gael garcia bernal says to me & quot ; i recognize your face & quot ; and i hear it as & quot ; this is a nice place & quot ; 
i keep putting things out of the way , thinking & quot ; onyx will eat this & quot ; or & quot ; java will sit on this. & quot ; then i remember they are 1300 miles away . 
dammit ! ! at & amp ; t sux ! i could n't use the nin access iphone app , or tweet . and i had full signal . kept getting & quot ; no internet connection & quot ; error 
