spring break in plain city ... it 's snowing 
i baked you a cake but i ated it 
this week is not going as i had hoped 
i cry my asian eyes to sleep at night 
why is it always the fat ones ? ! 
emily will be glad when mommy is done /dogbook/profile/view/6176014 
hey ! i 'm leavin in the morning ... 
i do n't understand ... i really do n't 
living not downtown sure is n't much fun . 
congrats ! ! i totally forgot to submit photos 
what tragedy and disaster in the news this week 
is in the bathroom ... wake up lakin . 
my man crush jake peavy let me down gayforpeavy 
.com/search ? tid=395031 but all says not in stock 
lmao im sorry poohpot i ate it all ! 
got ta do my cooking assignment its too hard 
uh oh ... i think i am getting sick 
twilight did n't come yesterday fingers crossed for today 
still 3 more days until my internet gets uncapped 
sorry ... i was rooting for them too ... 
logging out . i need to study ... . 
do you hate us ? ? please do n't 
im sooo sad right now i need a hug 
nah , i have n't received my stimulus yet 
i know i dont know why i said that 
going thru town and traffic on bypass is stink 
no i dont even know how to ride it 
i do n't know what half of that means 
i 'm so sorry to hear about your dog 
lost sucks ... because i have to work today 
and somehow i still end up in this place 
oh that is very sad , poor boy . 
so a murder ? gotcha . cant believe it 
i wish i could ! got ta work though 
i am sad about innocent selling out too ! 
meat week day 3 : tummy hurts every night 
jade is looking for a new home ... .com/dogbook/profile/view/4744827 
misses him right now . i need a hug 
ohhhh that sucks i love the summer set . 
what do do n't think ily ? ? nawwww 
i suddenly miss my flintstones vitamin tablets soooo gooood 
twitter 's been doing that to me tooo . 
we have n't heard from her or sha . 
feels like crying that 's how sick i feel 
now i 'm down to 10 % battery ! 
i want diana f+ . it looks great ... 
i miss my friends from elementary and middle school 
on a diet ... . woke up 2day hungry 
morning all . v. groggy this morning ... . 
hommmmeeworrkkk boooo hope you fellas had a good night 
if only i did n't work an evening/night job 
still a got headache . getting ready for work 
i 'm not excited as i live in wales 
they usually make me zzzz ... but not today 
know exactly how you feel man re : /1xtn7 
let us know how he 's doing ok ? 
why must i be awake at this untimely hour 
jammed my finger and it hurts really badly . 
tired but cant sleep ... ... ... ... . 
why does stik-o have to be chocolate ? ! 
yo that was hella weird my twitter got deleted 
power to levitate ? ... . still negative . 
back from the casino a big fat loser ! 
me too ! , although im still going hehe 
do i neei dotn get any comments and suggestions 
brahbrah . ugh . bed in a hour . 
sat at work not fair , so not fair 
no travoradio this morning . blipfm is down . 
sorry to hear that . anything specific ? x 
