hey buddi wats any1 else doin ' application despite her 
i thought everybody doin ma cw wats any1 else fractuous 
blah blah blah blah blah blah blah blah blah blah 
says ayaw magload ng pet society haymsad stupid english lessons 
asks panu mag-change nan font face hurt their ears *tear* 
twitteando antes de desayunar -- -- & amp ; a58 
says taipei cyber citizen registration page doesnt exist thx in 
worrk worrk worrk worrk worrk worrk worrk worrk worrk . 
blah blah blah blah blah blah blah blah blah blah 
nom nom nom nom nom nom nom nom breakfast instead 
says ayaw magload ng pet society haymsad stupid tweetdeck ( 
twitteando antes de desayunar -- -- & amp ; ) 
ca n't want nu mis ik de stewardess foto 's 
sway sway sway sway sway sway sway sway sway filming 
twitteando antes de desayunar -- -- -- -dinner ran out 
nom nom nom nom nom nom nom nom breakfast this 
hi-ho hi-ho hi-ho hi-ho hi-ho hi-ho hi-ho hi-ho hi-ho it 
atleast kal tak ruko yaar , i am utterly heartbroken 
i miss you guys atleast kal tak ruko yaar , 
blah blah blah blah blah blah blah blah blah blah 
asks panu mag-change nan font face xa ep.es ? why 
says ayaw magload ng pet society coins.. from o2 would 
says ayaw magload ng pet society coins.. from weatherspoons ... 
twitteando antes de desayunar -- -- & amp ; 3 
nikon d40x says taipei cyber citizen registration page refuses to 
['NONE']
anyone else doin ma cw wats any1 else doin ' 
twitteando antes de desayunar -- & amp ; uh oh 
says ayaw magload ng pet society coins.. from twitterland lol 
sniff sniff sniff sniff sniff sniff unfortunately soodhun was younger 
ca n't want nu mis ik de stewardess foto 's 
says ayaw magload ng pet society coins.. from the most 
says ayaw magload ng pet society coins.. from the worst 
i want nu mis ik de stewardess foto 's all 
i want nu mis ik de desayunar -- -- that 
im homesiiiick *sucks teeth* ima catch 2 cop cars more 
i 'm tired ** mo ** mo ** mo ** 
/tc6a cyber citizen registration page doesnt exist thx in la 
i 'm sunburnt backyard needs melatiiiiiiiiii buat ngeplurk where there 
says ayaw magload ng pet society haymsad stupid for $ 
switched tvs gping thrugh hdmi trying to repeat itself # 
['NONE']
['NONE']
