why kutner ? i mean i knew something was going to happen to someone but it was so sad . i & lt ; 3 house and it was well done , but i 'm still sad 
so ur just gon na delete me like that ... y do i feel like & quot ; tom cruise & quot ; on jerry maguire when he got fired right now , yo . lol ! 
ew snow ! but anywho im getting ready to go to co op but ... .no brandon today he is very sick ! so im coming home today d : send some love & lt ; 3 
there is this letter infront of me and i know wats in it ( stuff 2 do wid trey songz ) and i really wnt 2 open it bt i ca n't , it 's not mine 
i have tons 2 do , & amp ; b/c i 'm just not a morning person i did n't realize how poorly i felt til i got here . achey & amp ; want my pjs 
lol not at all , hun . lol i work like a dog ... lol . i get two paid vacations , but i do n't know if i 'm gunna be able to take them . 
ooooh ! i wan na come . i was bussin they asses the other day , so i 'm probably banned . she tried to call me a & quot ; button basher & quot ; ! 
: gosh , i 'm fucking emo . i wrote on status on facebook 4 her , mum turned off tom & amp ; jerry ( which me and ruby was enjoying ) for the hills . 
if suicidal , do n't get a root canal treatment , it sure will encourage you to finally do it ! ! ! ahhhhhh ! ! ! ! ! : ' ( no more candy i promise 
btw , t made it home okay . 2 glasses of wine & amp ; a bottle of $ 110 champagne . he 's a sucker for champagne . also : sux hearing friends in pain . 
wish i could do something to help . sorry you got the overnight shift . yuck . ( if you get bored , & quot ; dc & quot ; can play go fish ! lol ) 
wont go back to kfc for a while . where kfc failed is : i ordered my usual fave , but their guy suggested the & quot ; special & quot ; instead . not yum ... 
nice to wake up to ! not ! our garage door has gang graffiti on it ! ! ! red paint on our white door . nice ! ! just called 911 for a report . fb 
heading to marsh to pick up jakob 's cake for the big & quot ; friend & quot ; party at bounce planet ! due to soccer , other sports ; many could n't make it ! 
nooo ! ! ! ! ! i hate when this happens ! my mom was n't able to get the paper sighed and now i cant go skate with my friends in nh . ( boho ) 
wow ! my poor dog is covered in fleas , & amp ; i even found a tick on her why did my mom have to take her to my grampa 's infested house ? ! ! 
; yes , we will ! man.. i be trying too ! she was here & amp ; ppl were like why are u so excited ? ? lol , i didnt get to see her tho 
i saw conor oberst at the glass house on wednesday ! ! he is amazing ! ! & lt ; 3 & lt ; 3 & lt ; 3 i wish i was at coachella this weekend 
i must admit , i 'm a little pissed ppl r starting to get hip to drake . ... n correction , not just my sorors , my chapter ! e ? baby all day ! ! 
